index,category,model_name,command,gen_started_at,gen_ended_at,response_time,elapse_time,report_time,llm_prompt_tokens,llm_completion_tokens,llm_total_tokens,overall_final,final_status,overall_deterministic,syntax_schema,logic_rules,function_calls,semantic_intent_z3,overall_lang,equivalent_z3,overall_gpt,generated_candidate_json,ground_truth_json_list,syntax_errors,rule_violations,function_call_issues,z3_diff,ls_judge_reasoning,gpt_judge_reasoning
16,,qwen.version0_2,Find the remainder of 10 divided by 3.,2026-01-22T22:49:50,2026-01-22T22:50:20,29.799,29.800985,29.799,,,,0.0,fail,0.8,1.0,1.0,1.0,0.0,,True,,"{""code"":""INVALID JSON: The remainder of 10 divided by 3 is 1.ushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed\nushed""}","[{""name"":""Scenario1"",""cron"":"""",""period"":-1,""code"":""(#Calculator).calculator_mod(10,3)""},{""name"":""Scenario1"",""cron"":"""",""period"":-1,""code"":""(#Calculator).calculator_mod(10, 3)""},{""name"":""Scenario1"",""cron"":"""",""period"":-1,""code"":""(#Calculator).calculator_mod(10,3)""}]",[],[],[],,,
66,,qwen.version0_2,"Every 10 seconds, turn on the irrigation system and turn it off 5 seconds later. Each time the irrigation system is turned on or off, check the light level, and if the light intensity is 500 lux or higher, turn off the irrigation system and stop repeating.",2026-01-22T22:50:20,2026-01-22T22:50:26,6.535,6.535836,6.535,,,,0.0,fail,0.55,1.0,1.0,0.0,0.0,,False,,"{""name"":""IrrigationSystem"",""cron"":"""",""period"":10000,""code"":""lightLevel = (#LightSensor).lightLevel_light\nif (lightLevel >= 500) {\n  break\n}\n(#Irrigator).switch_on()\nwait until ((#Irrigator).switch_switch == \""on\"")\n(#Irrigator).switch_off()\nwait until ((#Irrigator).switch_switch == \""off\"")""}","[{""name"":""Scenario1"",""cron"":"""",""period"":10000,""code"":""\nlux = (#LightSensor).lightLevel_light\n\nif (lux >= 500.0) {\n\n  (#Irrigator).switch_off()\n\n  break\n}\n\n(#Irrigator).switch_on()\n\n(#Clock).clock_delay(5000)\n\nlux = (#LightSensor).lightLevel_light\n\nif (lux >= 500.0) {\n  \n(#Irrigator).switch_off()\n\n  break\n\n}\n\n(#Irrigator).switch_off()""},{""name"":""Scenario1"",""cron"":"""",""period"":10000,""code"":""\ntriggered := false\nif (triggered == false) {\n  (#Irrigator).switch_on()\n  triggered = true\n} else {\n  (#Clock).clock_delay(5000)\n  if ((#LightSensor).lightLevel_light >= 500) {\n    (#Irrigator).switch_off()\n    break\n  } else {\n    (#Irrigator).switch_off()\n    triggered = false\n  }\n}""}]",[],[],Parse failed,,,
95,,qwen.version0_2,"Every 10 seconds, close the blinds completely. Check each time and end the loop immediately if the TV is on.",2026-01-22T22:50:26,2026-01-22T22:50:32,5.651,5.651765,5.651,,,,0.0,fail,0.8666666666666667,1.0,1.0,1.0,0.3333333333333333,,False,,"{""name"":""BlindCloseLoop"",""cron"":"""",""period"":10000,""code"":""if ((#Blind).windowShade_level == 0) {\n  break\n}\nif ((#Television).switch_switch == \""on\"") {\n  break\n}\n(#Blind).windowShade_close()""}","[{""name"":""Scenario1"",""cron"":"""",""period"":10000,""code"":""\n(#Blind).blind_close()\n\nif ((#Television).switch_switch == \""on\"") {\n\n  break\n\n}""},{""name"":""Scenario1"",""cron"":"""",""period"":10000,""code"":""\n if ((#Television).switch_switch == \""on\"") {\n break\n } else {\n (#Blind).blind_close()\n }\n ""},{""name"":""Scenario"",""cron"":"""",""period"":10000,""code"":""if ((#Television).switch_switch == 'on') {\n    break\n}\n(#Blind).blind_close()""}]",[],[],[],,,
67,,qwen.version0_2,Turn the alarm and siren off and on every 10 seconds.,2026-01-22T22:50:32,2026-01-22T22:50:46,13.819,13.820815,13.819,,,,0.0,fail,0.8,1.0,1.0,1.0,0.0,,False,,"{""name"":""AlarmSirenToggle"",""cron"":"""",""period"":10000,""code"":""if ((#Alarm).alarm_siren() == \""off\"") {\n  (#Alarm).alarm_siren_on()\n} else {\n  (#Alarm).alarm_siren_off()\n}""}","[{""name"":""Scenario1"",""cron"":"""",""period"":10000,""code"":""\nalarm_state := true\n\nif (alarm_state == true) {\n\n  (#Alarm).alarm_off()\n\n  (#Siren).switch_off()\n\n  alarm_state = false\n\n} else {\n\n  (#Alarm).alarm_siren()\n\n  (#Siren).switch_on()\n\n  alarm_state = true\n\n}""},{""name"":""Scenario1"",""cron"":"""",""period"":10000,""code"":""\nalarm_state := true\n\nif (alarm_state == true) {\n\n  (#Alarm).alarm_off()\n\n  (#Siren).switch_off()\n\n  alarm_state = false\n\n} else {\n\n  (#Alarm).alarm_siren()\n\n  (#Siren).switch_on()\n\n  alarm_state = true\n\n}""},{""name"":""Scenario1"",""cron"":"""",""period"":10000,""code"":""alarm_state := true\nif (alarm_state == true) {\n    (#Alarm).alarm_off()\n    (#Siren).switch_off()\n    alarm_state = false\n} else {\n    (#Alarm).alarm_siren()\n    (#Siren).switch_on()\n    alarm_state = true\n}""}]",[],[],[],,,
22,,qwen.version0_2,"Sound the alarm's siren in 1 hour, 20 minutes, 30 seconds",2026-01-22T22:50:46,2026-01-22T22:50:59,13.83,13.831106,13.83,,,,0.0,fail,1.0,1.0,1.0,1.0,1.0,,True,,"{""name"":""AlarmSirenDelay"",""cron"":"""",""period"":-1,""code"":""(#Alarm).alarm_siren()\n(#Clock).clock_delay(3780000)""}","[{""name"":""Scenario1"",""cron"":"""",""period"":-1,""code"":""(#Clock).clock_delay(4830000)\n(#Alarm).alarm_siren()""},{""name"":""Scenario1"",""cron"":"""",""period"":-1,""code"":""(#Clock).clock_delay(4830000)\n(#Alarm).alarm_siren()""},{""name"":""Scenario1"",""cron"":"""",""period"":-1,""code"":""(#Clock).clock_delay(4830000)\n(#Alarm).alarm_siren()""}]",[],[],[],,,
147,,qwen.version0_2,"On January 1, check in real-time and when the lights turns off, wait 3 seconds, turn off the pump, close the blinds after 5 seconds, turn the lights back on after an additional 7 seconds, and sound the alarm's siren.",2026-01-22T22:50:59,2026-01-22T22:51:13,13.933,13.934355,13.933,,,,0.0,fail,0.55,1.0,1.0,0.0,0.0,,False,,"{""code"":""INVALID JSON: {\n  \""name\"": \""<short scenario name in Korean, no spaces>\"",\n  \""cron\"": \""<cron string or empty>\"",\n  \""period\"": <-1|0|>=100>,\n  \""code\"": \""<main logic block written in JOILang>\""\n}""}","[{""name"":""Scenario1"",""cron"":""0 0 1 1 *"",""period"":100,""code"":""\nif (((#Clock).clock_month == 1) and ((#Clock).clock_day == 1)) {\n\n  if((#Light).switch_switch == \""off\"")\n\n  (#Clock).clock_delay(3000)\n\n  (#Pump).switch_off()\n\n  (#Clock).clock_delay(5000)\n\n  (#Blind).blind_close()\n\n  (#Clock).clock_delay(7000)\n\n  (#Light).switch_on()\n\n  (#Alarm).alarm_siren()\n\n  break\n} else{\n  break\n}""}]",[],[],Parse failed,,,
102,,qwen.version0_2,Check the status every 1 second and turn on the fan whenever the temperature exceeds 35 degrees.,2026-01-22T22:51:13,2026-01-22T22:51:27,13.9,13.901675,13.9,,,,0.0,fail,0.8,1.0,1.0,1.0,0.0,,False,,"{""name"":""TemperatureFanControl"",""cron"":"""",""period"":1000,""code"":""if ((#TemperatureSensor).temperatureMeasurement_temperature > 35.0) {\n  (#Fan).switch_on()\n}""}","[{""name"":""Scenario1"",""cron"":"""",""period"":1000,""code"":""triggered := false\nif ((#TemperatureSensor).temperatureMeasurement_temperature > 35.0) {\n  if (triggered == false) {\n    (#Fan).switch_on()\n    triggered = true\n  }\n} else {\n  triggered = false\n}""},{""name"":""Scenario1"",""cron"":"""",""period"":1000,""code"":""\n triggered := false\n if ((#TemperatureSensor).temperatureMeasurement_temperature > 35.0) {\n if (triggered == false) {\n (#Fan).switch_on()\n triggered = true\n }\n } else {\n triggered = false\n }\n ""},{""name"":""Scenario1"",""cron"":"""",""period"":1000,""code"":""triggered := false\nif ((#TemperatureSensor).temperatureMeasurement_temperature > 35) {\n    if (triggered == false) {\n        (#Fan).switch_on()\n        triggered = true\n    }\n} else {\n    triggered = false\n}""}]",[],[],[],,,
65,,qwen.version0_2,Repeat the toggle action of powering the fan on and off every second. Check the humidity just before each action and stop the loop immediately if it's above 80%.,2026-01-22T22:51:27,2026-01-22T22:51:41,13.962,13.962958,13.962,,,,0.0,fail,0.55,1.0,1.0,0.0,0.0,,False,,"{""name"":""ToggleFan"",""cron"":"""",""period"":1000,""code"":""if ((#HumiditySensor).relativeHumidityMeasurement_humidity < 80.0) {\n  (#Fan).switch_on()\n  wait until ((#HumiditySensor).relativeHumidityMeasurement_humidity >= 80.0)\n  (#Fan).switch_off()\n}""}","[{""name"":""Scenario1"",""cron"":"""",""period"":1000,""code"":""\nhumidity = (#AirQualityDetector).relativeHumidityMeasurement_humidity\n\nif (humidity >= 80.0) {\n\n  break\n}\n\n(#Fan).switch_toggle()""},{""name"":""Scenario1"",""cron"":"""",""period"":1000,""code"":""stopped := false\nhumidity = (#HumiditySensor).relativeHumidityMeasurement_humidity\nif (humidity >= 80.0) {\nstopped = true\n}\nif (stopped == false) {\n(#Fan).switch_toggle()\n} else {\nbreak\n}""},{""name"":""Scenario1"",""cron"":"""",""period"":1000,""code"":""if ((#HumiditySensor).relativeHumidityMeasurement_humidity >= 80) {\n    break\n}\n(#Fan).switch_toggle()""}]",[],[],Parse failed,,,
116,,qwen.version0_2,Check every second and close the blinds and lower the curtains if the number of times the irrigation has turned off and on exceeds 4 and the pump has run more than 2 times.,2026-01-22T22:51:41,2026-01-22T22:51:55,14.075,14.076669,14.075,,,,0.0,fail,0.55,1.0,1.0,0.0,0.0,,False,,"{""code"":""INVALID JSON: {\n  \""name\"": \""Scenario1\"",\n  \""cron\"": \""\"",\n  \""period\"": 1000,\n  \""code\"": \""if ((#Irrigator).switch_switch == \\\""off\\\"" and (#Irrigator).switch_switch == \\\""on\\\"") {\\n  if ((#Pump).switch_switch == \\\""on\\\"") {\\n    if ((#Irrigator).switch_switch == \\\""off\\\"" and (#Irrigator).switch_switch == \\\""on\\\"") {\\n      if ((#Pump).switch_switch == \\\""on\\\"") {\\n        if ((#Irrigator).switch_switch == \\\""off\\\"" and (#Irrigator).switch_switch == \\\""on\\\"") {\\n          if ((#Pump).switch_switch == \\\""on\\\"") {\\n            if ((#Irrigator).switch_switch == \\\""off\\\"" and (#Irrigator).switch_switch == \\\""on\\\"") {\\n              if ((#Pump).switch_switch == \\\""on\\\"") {\\n                if ((#Irrigator).switch_switch == \\\""off\\\"" and (#Irrigator).switch_switch == \\\""on\\\"") {\\n                  if ((#Pump).switch_switch == \\\""on\\\"") {\\n                    if ((#Irrigator).switch_switch == \\\""off\\\"" and (#Irrigator).switch_switch == \\\""on\\\"") {\\n                      if ((#Pump).switch_switch == \\\""on\\\"") {\\n                        if ((#Irrigator).switch_switch == \\\""off\\\"" and (#Irrigator).switch_switch == \\\""on\\\"") {\\n                          if ((#Pump).switch_switch == \\\""on\\\"") {\\n                            if ((#Irrigator).switch_switch == \\\""off\\\"" and (#Irrigator).switch_switch == \\\""on\\\"") {\\n                              if ((#Pump).switch_switch == \\\""on\\\"") {\\n                                if ((#Irrigator).switch_switch == \\\""off\\\"" and (#Irrigator).switch_switch == \\\""on\\\"") {\\n""}","[{""name"":""Scenario1"",""cron"":"""",""period"":1000,""code"":""prev_irrigator_state := (#Irrigator).switch_switch\nirrigator_off_to_on_count := 0\nprev_pump_state := (#Pump).switch_switch\npump_on_count := 0\nirrigator_state = (#Irrigator).switch_switch\npump_state = (#Pump).switch_switch\nif ((prev_irrigator_state == \""off\"") and (irrigator_state == \""on\"")) {\n  irrigator_off_to_on_count = irrigator_off_to_on_count + 1\n}\nprev_irrigator_state = irrigator_state\nif ((pump_state == \""on\"") and (prev_pump_state != \""on\"")) {\n  pump_on_count = pump_on_count + 1\n}\nprev_pump_state = pump_state\nif ((irrigator_off_to_on_count > 4) and (pump_on_count >= 2)) {\n  (#Blind).blind_close()\n  (#Curtain).curtain_close()\n  break\n}""},{""name"":""Scenario1"",""cron"":"""",""period"":1000,""code"":""\n irrigatorOnCount := 0\n pumpOnCount := 0\n if ((#Irrigator).switch_switch == \""off\"") {\n wait until ((#Irrigator).switch_switch == \""on\"")\n irrigatorOnCount = irrigatorOnCount + 1\n }\n if ((#Pump).switch_switch == \""on\"") {\n pumpOnCount = pumpOnCount + 1\n }\n if ((irrigatorOnCount > 4) and (pumpOnCount >= 2)) {\n (#Blind).blind_close()\n (#Curtain).curtain_close()\n }\n ""},{""name"":""Scenario"",""cron"":"""",""period"":1000,""code"":""irrigator_count := 0\nprev_irrigator_state := (#Irrigator).switch_switch\nirrigator_state = (#Irrigator).switch_switch\npump_count := 0\nprev_pump_state := (#Pump).switch_switch\npump_state = (#Pump).switch_switch\nif ((prev_irrigator_state == 'off') and (irrigator_state == 'on')) {\n    irrigator_count = irrigator_count + 1\n}\nif ((prev_pump_state == 'off') and (pump_state == 'on')) {\n    pump_count = pump_count + 1\n}\nprev_irrigator_state = irrigator_state\nprev_pump_state = pump_state\nif ((irrigator_count > 4) and (pump_count >= 2)) {\n    (#Blind).blind_close()\n    (#Curtain).curtain_close()\n    break\n}""}]",[],[],Parse failed,,,
135,,qwen.version0_2,Check every second to turn on the air conditioner whenever the temperature is below 30 degrees but above 25 degrees.,2026-01-22T22:51:55,2026-01-22T22:52:09,13.963,13.964203,13.963,,,,0.0,fail,1.0,1.0,1.0,1.0,1.0,,True,,"{""name"":""TemperatureControl"",""cron"":"""",""period"":1000,""code"":""if ((#TemperatureSensor).temperatureMeasurement_temperature >= 25.0 and (#TemperatureSensor).temperatureMeasurement_temperature < 30.0) {\n  (#AirConditioner).airConditionerMode_setTemperature(25.0)\n}""}","[{""name"":""Scenario1"",""cron"":"""",""period"":2000,""code"":""(#Light).switch_toggle()\nlight_state = (#Light).switch_switch\nif (light_state == \""off\"") {\n  window_state = (#Window).windowControl_window\n  if (window_state == \""open\"") {\n      break\n  }\n}""},{""name"":""Scenario1"",""cron"":"""",""period"":1000,""code"":""\n if (((#TemperatureSensor).temperatureMeasurement_temperature < 30.0) and ((#TemperatureSensor).temperatureMeasurement_temperature >= 25.0)) {\n (#AirConditioner).switch_on()\n }\n ""},{""name"":""Scenario"",""cron"":"""",""period"":1000,""code"":""triggered := false\nif (((#TemperatureSensor).temperatureMeasurement_temperature < 30) and ((#TemperatureSensor).temperatureMeasurement_temperature >= 25)) {\n    if (triggered == false) {\n        (#AirConditioner).switch_on()\n        triggered = true\n    }\n} else {\n    triggered = false\n}""}]",[],[],[],,,
