profile,generation,model_key,genome_id,parent_ids,model,fitness,avg_det_score,det_pass_rate,det_variance,avg_prompt_tokens,strict_sdet,replay_fit,schema_fail_rate,train_avg_det_score,train_det_pass_rate,validation_avg_det_score,validation_det_pass_rate,validation_gt_exact_rate,candidate_strategies,active_core_blocks,active_optional_blocks,mutation_types,crossover_used,advisor_used,feedback_types_used,promoted_candidate
version0_15,1,llama31_8b,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e,,meta-llama/Llama-3.1-8B-Instruct,-66.079411,83.8253,66.6667,299.809422,68200.0,83.8253,,25.0,83.8253,66.6667,83.8253,66.6667,16.6667,compact_json|explicit_preconditions|direct|minimal,"01,02","03,05,06",initial_random,False,False,,True
version0_15,2,llama31_8b,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e,,meta-llama/Llama-3.1-8B-Instruct,-66.079411,83.8253,66.6667,299.809422,68200.0,83.8253,,25.0,83.8253,66.6667,83.8253,66.6667,16.6667,compact_json|explicit_preconditions|direct|minimal,"01,02","03,05,06",initial_random,False,False,,True
version0_15,3,llama31_8b,gen-aa260320-7d41-aadd-0f01-03d60439a016,gen-6fdeabcf-8c8b-5049-3ff1-7f014d565c16,meta-llama/Llama-3.1-8B-Instruct,-66.079411,83.8253,66.6667,299.809422,68200.0,83.8253,,25.0,83.8253,66.6667,83.8253,66.6667,16.6667,compact_json|explicit_preconditions|direct|minimal,"01,02","03,05,06",temperature,False,False,,True
version0_15,4,llama31_8b,gen-32a30300-01fc-5f0c-5c78-5edb83f3a16d,"gen-aa260320-7d41-aadd-0f01-03d60439a016,gen-aa260320-7d41-aadd-0f01-03d60439a016",meta-llama/Llama-3.1-8B-Instruct,-66.079411,83.8253,66.6667,299.809422,68200.0,83.8253,,25.0,83.8253,66.6667,83.8253,66.6667,16.6667,compact_json|explicit_preconditions,"01,02","03,05,06",,True,False,,True
version0_15,5,llama31_8b,gen-32a30300-01fc-5f0c-5c78-5edb83f3a16d,"gen-aa260320-7d41-aadd-0f01-03d60439a016,gen-aa260320-7d41-aadd-0f01-03d60439a016",meta-llama/Llama-3.1-8B-Instruct,-66.079411,83.8253,66.6667,299.809422,68200.0,83.8253,,25.0,83.8253,66.6667,83.8253,66.6667,16.6667,compact_json|explicit_preconditions,"01,02","03,05,06",,True,False,,True
version0_15,6,llama31_8b,gen-32a30300-01fc-5f0c-5c78-5edb83f3a16d,"gen-aa260320-7d41-aadd-0f01-03d60439a016,gen-aa260320-7d41-aadd-0f01-03d60439a016",meta-llama/Llama-3.1-8B-Instruct,-66.079411,83.8253,66.6667,299.809422,68200.0,83.8253,,25.0,83.8253,66.6667,83.8253,66.6667,16.6667,compact_json|explicit_preconditions,"01,02","03,05,06",,True,False,,True
version0_15,7,llama31_8b,gen-56580de2-2f79-b8a1-9492-0dc2f0089c53,,meta-llama/Llama-3.1-8B-Instruct,-63.041245,80.9491,54.1667,287.980691,36129.5,80.9491,,25.0,80.9491,54.1667,80.9491,54.1667,16.6667,canonical_names_first|minimal,"01,02",,initial_random,False,False,,False
version0_15,8,llama31_8b,gen-56580de2-2f79-b8a1-9492-0dc2f0089c53,,meta-llama/Llama-3.1-8B-Instruct,-63.041245,80.9491,54.1667,287.980691,36129.5,80.9491,,25.0,80.9491,54.1667,80.9491,54.1667,16.6667,canonical_names_first|minimal,"01,02",,initial_random,False,False,,False
version0_15,9,llama31_8b,gen-f136dfc3-8ad0-9d5a-24e0-34b46f5b1cfc,,meta-llama/Llama-3.1-8B-Instruct,-45.683874,82.8855,62.5,257.138748,67849.0,82.8855,,29.1667,82.8855,62.5,82.8855,62.5,8.3333,direct|minimal,"01,02","03,05,06",initial_random,False,False,,False
version0_15,10,llama31_8b,gen-f136dfc3-8ad0-9d5a-24e0-34b46f5b1cfc,,meta-llama/Llama-3.1-8B-Instruct,-45.683874,82.8855,62.5,257.138748,67849.0,82.8855,,29.1667,82.8855,62.5,82.8855,62.5,8.3333,direct|minimal,"01,02","03,05,06",initial_random,False,False,,False
