generation,rank,model_key,genome_id,det,det_pass_rate,det_pass_count,row_count,tokens,core_blocks,optional_blocks,parent_ids,major_mutations,advisor_proposal_id,fitness
1,1,llama31_8b,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e,83.8253,66.6667,16,24,68200.0,"01,02","03,05,06",,initial_random,,-66.079411
1,2,llama31_8b,gen-2b132d31-5209-14c4-0eef-092879070b33,81.0416,58.3333,14,24,67862.0,"01,02","03,05,06",,initial_random,,-66.872978
1,3,llama31_8b,gen-bbf8b961-f83c-3169-009b-831460788576,81.424,62.5,15,24,68247.0,"01,02","03,05,06",,initial_random,,-93.580811
2,1,llama31_8b,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e,83.8253,66.6667,16,24,68200.0,"01,02","03,05,06",,initial_random,,-66.079411
2,2,llama31_8b,gen-2b132d31-5209-14c4-0eef-092879070b33,81.0416,58.3333,14,24,67862.0,"01,02","03,05,06",,initial_random,,-66.872978
2,3,llama31_8b,gen-01c673b5-8d15-2daf-6d4d-979653871646,80.2558,58.3333,14,24,67841.0,"01,02","03,05,06",,initial_random,,-83.743507
3,1,llama31_8b,gen-aa260320-7d41-aadd-0f01-03d60439a016,83.8253,66.6667,16,24,68200.0,"01,02","03,05,06",gen-6fdeabcf-8c8b-5049-3ff1-7f014d565c16,temperature,,-66.079411
3,2,llama31_8b,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e,83.8253,66.6667,16,24,68200.0,"01,02","03,05,06",,initial_random,,-66.079411
3,3,llama31_8b,gen-2b132d31-5209-14c4-0eef-092879070b33,81.0416,58.3333,14,24,67862.0,"01,02","03,05,06",,initial_random,,-66.872978
4,1,llama31_8b,gen-32a30300-01fc-5f0c-5c78-5edb83f3a16d,83.8253,66.6667,16,24,68200.0,"01,02","03,05,06","gen-aa260320-7d41-aadd-0f01-03d60439a016,gen-aa260320-7d41-aadd-0f01-03d60439a016",,,-66.079411
4,2,llama31_8b,gen-a54b8f87-d978-b216-ec92-00eff762bd04,83.8253,66.6667,16,24,68200.0,"01,02","03,05,06","gen-aa260320-7d41-aadd-0f01-03d60439a016,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e",,,-66.079411
4,3,llama31_8b,gen-aa260320-7d41-aadd-0f01-03d60439a016,83.8253,66.6667,16,24,68200.0,"01,02","03,05,06",gen-6fdeabcf-8c8b-5049-3ff1-7f014d565c16,temperature,,-66.079411
5,1,llama31_8b,gen-32a30300-01fc-5f0c-5c78-5edb83f3a16d,83.8253,66.6667,16,24,68200.0,"01,02","03,05,06","gen-aa260320-7d41-aadd-0f01-03d60439a016,gen-aa260320-7d41-aadd-0f01-03d60439a016",,,-66.079411
5,2,llama31_8b,gen-a54b8f87-d978-b216-ec92-00eff762bd04,83.8253,66.6667,16,24,68200.0,"01,02","03,05,06","gen-aa260320-7d41-aadd-0f01-03d60439a016,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e",,,-66.079411
5,3,llama31_8b,gen-821d09eb-d61f-7b98-c562-ab6319a7e562,81.2178,58.3333,14,24,68213.0,"01,02","03,05,06",,initial_random,,-72.406403
6,1,llama31_8b,gen-32a30300-01fc-5f0c-5c78-5edb83f3a16d,83.8253,66.6667,16,24,68200.0,"01,02","03,05,06","gen-aa260320-7d41-aadd-0f01-03d60439a016,gen-aa260320-7d41-aadd-0f01-03d60439a016",,,-66.079411
6,2,llama31_8b,gen-a54b8f87-d978-b216-ec92-00eff762bd04,83.8253,66.6667,16,24,68200.0,"01,02","03,05,06","gen-aa260320-7d41-aadd-0f01-03d60439a016,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e",,,-66.079411
6,3,llama31_8b,gen-9e658330-3550-7705-e7f2-e7de3ec60a26,81.2178,58.3333,14,24,68213.0,"01,02","03,05,06",gen-821d09eb-d61f-7b98-c562-ab6319a7e562,,,-72.406403
7,1,llama31_8b,gen-56580de2-2f79-b8a1-9492-0dc2f0089c53,80.9491,54.1667,13,24,36129.5,"01,02",,,initial_random,,-63.041245
7,2,llama31_8b,gen-32a30300-01fc-5f0c-5c78-5edb83f3a16d,83.8253,66.6667,16,24,68200.0,"01,02","03,05,06","gen-aa260320-7d41-aadd-0f01-03d60439a016,gen-aa260320-7d41-aadd-0f01-03d60439a016",,,-66.079411
7,3,llama31_8b,gen-a54b8f87-d978-b216-ec92-00eff762bd04,83.8253,66.6667,16,24,68200.0,"01,02","03,05,06","gen-aa260320-7d41-aadd-0f01-03d60439a016,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e",,,-66.079411
8,1,llama31_8b,gen-56580de2-2f79-b8a1-9492-0dc2f0089c53,80.9491,54.1667,13,24,36129.5,"01,02",,,initial_random,,-63.041245
8,2,llama31_8b,gen-8a6bc8f1-e4b4-1354-6c20-d1c50360d42e,80.9491,54.1667,13,24,36129.5,"01,02",,gen-aa6e1439-9eac-29c6-d8c1-c9661b3765ac,temperature,,-63.041245
8,3,llama31_8b,gen-32a30300-01fc-5f0c-5c78-5edb83f3a16d,83.8253,66.6667,16,24,68200.0,"01,02","03,05,06","gen-aa260320-7d41-aadd-0f01-03d60439a016,gen-aa260320-7d41-aadd-0f01-03d60439a016",,,-66.079411
9,1,llama31_8b,gen-f136dfc3-8ad0-9d5a-24e0-34b46f5b1cfc,82.8855,62.5,15,24,67849.0,"01,02","03,05,06",,initial_random,,-45.683874
9,2,llama31_8b,gen-56580de2-2f79-b8a1-9492-0dc2f0089c53,80.9491,54.1667,13,24,36129.5,"01,02",,,initial_random,,-63.041245
9,3,llama31_8b,gen-8a6bc8f1-e4b4-1354-6c20-d1c50360d42e,80.9491,54.1667,13,24,36129.5,"01,02",,gen-aa6e1439-9eac-29c6-d8c1-c9661b3765ac,temperature,,-63.041245
10,1,llama31_8b,gen-f136dfc3-8ad0-9d5a-24e0-34b46f5b1cfc,82.8855,62.5,15,24,67849.0,"01,02","03,05,06",,initial_random,,-45.683874
10,2,llama31_8b,gen-140662cd-f3e0-30a8-19cf-df568304c9a7,80.9491,54.1667,13,24,36129.5,"01,02",,gen-8a6bc8f1-e4b4-1354-6c20-d1c50360d42e,,,-63.041245
10,3,llama31_8b,gen-56580de2-2f79-b8a1-9492-0dc2f0089c53,80.9491,54.1667,13,24,36129.5,"01,02",,,initial_random,,-63.041245
