generation,rank,model_key,genome_id,det,det_pass_rate,det_pass_count,row_count,tokens,core_blocks,optional_blocks,parent_ids,major_mutations,advisor_proposal_id,fitness
1,1,qwen25_coder_14b,gen-bbf8b961-f83c-3169-009b-831460788576,94.6891,91.6667,22,24,68729.8333,"01,02","03,05,06",,initial_random,,50.401062
1,2,qwen25_coder_14b,gen-2b132d31-5209-14c4-0eef-092879070b33,94.0932,91.6667,22,24,68328.8333,"01,02","03,05,06",,initial_random,,38.87975
1,3,qwen25_coder_14b,gen-378892e9-ecc3-87ab-8b45-85023a0286cc,95.0653,91.6667,22,24,70001.8333,"01,02","05,06",,initial_random,,27.926467
2,1,qwen25_coder_14b,gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275,95.7118,91.6667,22,24,70088.8333,"01,02","03,05",,initial_random,,51.121139
2,2,qwen25_coder_14b,gen-bbf8b961-f83c-3169-009b-831460788576,94.6891,91.6667,22,24,68729.8333,"01,02","03,05,06",,initial_random,,50.401062
2,3,qwen25_coder_14b,gen-2b132d31-5209-14c4-0eef-092879070b33,94.0932,91.6667,22,24,68328.8333,"01,02","03,05,06",,initial_random,,38.87975
3,1,qwen25_coder_14b,gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275,95.7118,91.6667,22,24,70088.8333,"01,02","03,05",,initial_random,,51.121139
3,2,qwen25_coder_14b,gen-aa260320-7d41-aadd-0f01-03d60439a016,95.7118,91.6667,22,24,70088.8333,"01,02","03,05",gen-6fdeabcf-8c8b-5049-3ff1-7f014d565c16,temperature,,51.121139
3,3,qwen25_coder_14b,gen-bbf8b961-f83c-3169-009b-831460788576,94.6891,91.6667,22,24,68729.8333,"01,02","03,05,06",,initial_random,,50.401062
4,1,qwen25_coder_14b,gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275,95.7118,91.6667,22,24,70088.8333,"01,02","03,05",,initial_random,,51.121139
4,2,qwen25_coder_14b,gen-aa260320-7d41-aadd-0f01-03d60439a016,95.7118,91.6667,22,24,70088.8333,"01,02","03,05",gen-6fdeabcf-8c8b-5049-3ff1-7f014d565c16,temperature,,51.121139
4,3,qwen25_coder_14b,gen-6ce53542-97bd-9165-e4d7-4cbf5836c438,94.0932,91.6667,22,24,68318.8333,"01,02","03,05,06",,initial_random,,38.87975
5,1,qwen25_coder_14b,gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275,95.7118,91.6667,22,24,70088.8333,"01,02","03,05",,initial_random,,51.121139
5,2,qwen25_coder_14b,gen-aa260320-7d41-aadd-0f01-03d60439a016,95.7118,91.6667,22,24,70088.8333,"01,02","03,05",gen-6fdeabcf-8c8b-5049-3ff1-7f014d565c16,temperature,,51.121139
5,3,qwen25_coder_14b,gen-408eebae-0c2d-68ab-19c9-000319f4af44,94.7422,91.6667,22,24,70226.8333,"01,02","03,05,06",,initial_random,,26.912257
6,1,qwen25_coder_14b,gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275,95.7118,91.6667,22,24,70088.8333,"01,02","03,05",,initial_random,,51.121139
6,2,qwen25_coder_14b,gen-aa260320-7d41-aadd-0f01-03d60439a016,95.7118,91.6667,22,24,70088.8333,"01,02","03,05",gen-6fdeabcf-8c8b-5049-3ff1-7f014d565c16,temperature,,51.121139
6,3,qwen25_coder_14b,gen-35507705-e7f2-e7de-3ec6-0a2631bfae7e,91.4264,83.3333,20,24,70247.8333,"01,02","03,05,06",gen-9aeb65e9-574e-cb3e-1223-8a712cc3787b,add_targeted_repair_hint,,-29.53071
7,1,qwen25_coder_14b,gen-3e32de78-6d85-69dd-f31f-678e1ed93856,95.7118,91.6667,22,24,70088.8333,"01,02","03,05","gen-aa260320-7d41-aadd-0f01-03d60439a016,gen-35507705-e7f2-e7de-3ec6-0a2631bfae7e",,,51.121139
7,2,qwen25_coder_14b,gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275,95.7118,91.6667,22,24,70088.8333,"01,02","03,05",,initial_random,,51.121139
7,3,qwen25_coder_14b,gen-aa260320-7d41-aadd-0f01-03d60439a016,95.7118,91.6667,22,24,70088.8333,"01,02","03,05",gen-6fdeabcf-8c8b-5049-3ff1-7f014d565c16,temperature,,51.121139
8,1,qwen25_coder_14b,gen-3e32de78-6d85-69dd-f31f-678e1ed93856,95.7118,91.6667,22,24,70088.8333,"01,02","03,05","gen-aa260320-7d41-aadd-0f01-03d60439a016,gen-35507705-e7f2-e7de-3ec6-0a2631bfae7e",,,51.121139
8,2,qwen25_coder_14b,gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275,95.7118,91.6667,22,24,70088.8333,"01,02","03,05",,initial_random,,51.121139
8,3,qwen25_coder_14b,gen-aa260320-7d41-aadd-0f01-03d60439a016,95.7118,91.6667,22,24,70088.8333,"01,02","03,05",gen-6fdeabcf-8c8b-5049-3ff1-7f014d565c16,temperature,,51.121139
9,1,qwen25_coder_14b,gen-2479cfb5-b7ba-d301-9859-6637c9e3c3e2,95.7118,91.6667,22,24,70088.8333,"01,02","03,05","gen-aa260320-7d41-aadd-0f01-03d60439a016,gen-3e32de78-6d85-69dd-f31f-678e1ed93856",,,51.121139
9,2,qwen25_coder_14b,gen-3e32de78-6d85-69dd-f31f-678e1ed93856,95.7118,91.6667,22,24,70088.8333,"01,02","03,05","gen-aa260320-7d41-aadd-0f01-03d60439a016,gen-35507705-e7f2-e7de-3ec6-0a2631bfae7e",,,51.121139
9,3,qwen25_coder_14b,gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275,95.7118,91.6667,22,24,70088.8333,"01,02","03,05",,initial_random,,51.121139
