generation,genome_id,model_key,det,det_pass_rate,sdet,avg_prompt_tokens,warm_latency_p50,peak_vram_gb,oom_count,failure_rate,is_pareto_frontier,newly_discovered_frontier,dominated_by,pareto_rank,knee_candidate,pareto_status
1,gen-2b132d31-5209-14c4-0eef-092879070b33,qwen25_coder_7b,24.0,0.0,24.0,0.0,0.0,,,100.0,True,True,,1,gen-2b132d31-5209-14c4-0eef-092879070b33,partial_metrics
1,gen-378892e9-ecc3-87ab-8b45-85023a0286cc,qwen25_coder_7b,24.0,0.0,24.0,0.0,0.0,,,100.0,True,True,,1,gen-2b132d31-5209-14c4-0eef-092879070b33,partial_metrics
1,gen-af17dfa2-8346-1468-fe4c-138bdd4e7245,qwen25_coder_7b,24.0,0.0,24.0,0.0,0.0,,,100.0,True,True,,1,gen-2b132d31-5209-14c4-0eef-092879070b33,partial_metrics
1,gen-bbf8b961-f83c-3169-009b-831460788576,qwen25_coder_7b,24.0,0.0,24.0,0.0,0.0,,,100.0,True,True,,1,gen-2b132d31-5209-14c4-0eef-092879070b33,partial_metrics
1,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e,qwen25_coder_7b,24.0,0.0,24.0,0.0,0.0,,,100.0,True,True,,1,gen-2b132d31-5209-14c4-0eef-092879070b33,partial_metrics
2,gen-062479cf-b5b7-bad3-0198-596637c9e3c3,qwen25_coder_7b,24.0,0.0,24.0,0.0,2.5e-05,,,100.0,True,True,,1,gen-062479cf-b5b7-bad3-0198-596637c9e3c3,partial_metrics
2,gen-2b132d31-5209-14c4-0eef-092879070b33,qwen25_coder_7b,24.0,0.0,24.0,0.0,0.0,,,100.0,True,False,,1,gen-062479cf-b5b7-bad3-0198-596637c9e3c3,partial_metrics
2,gen-378892e9-ecc3-87ab-8b45-85023a0286cc,qwen25_coder_7b,24.0,0.0,24.0,0.0,0.0,,,100.0,True,False,,1,gen-062479cf-b5b7-bad3-0198-596637c9e3c3,partial_metrics
2,gen-af17dfa2-8346-1468-fe4c-138bdd4e7245,qwen25_coder_7b,24.0,0.0,24.0,0.0,0.0,,,100.0,True,False,,1,gen-062479cf-b5b7-bad3-0198-596637c9e3c3,partial_metrics
2,gen-f7c37768-272e-1069-de72-25be6c3bf6ba,qwen25_coder_7b,24.0,0.0,24.0,0.0,0.0,,,100.0,True,True,,1,gen-062479cf-b5b7-bad3-0198-596637c9e3c3,partial_metrics
