generation,genome_id,model_key,det,det_pass_rate,sdet,avg_prompt_tokens,warm_latency_p50,peak_vram_gb,oom_count,failure_rate,is_pareto_frontier,newly_discovered_frontier,dominated_by,pareto_rank,knee_candidate,pareto_status
1,gen-2b132d31-5209-14c4-0eef-092879070b33,qwen25_coder_7b,24.0,0.0,24.0,0.0,0.0,,,100.0,True,True,,1,gen-2b132d31-5209-14c4-0eef-092879070b33,partial_metrics
1,gen-378892e9-ecc3-87ab-8b45-85023a0286cc,qwen25_coder_7b,24.0,0.0,24.0,0.0,0.0,,,100.0,True,True,,1,gen-2b132d31-5209-14c4-0eef-092879070b33,partial_metrics
1,gen-af17dfa2-8346-1468-fe4c-138bdd4e7245,qwen25_coder_7b,24.0,0.0,24.0,0.0,0.0,,,100.0,True,True,,1,gen-2b132d31-5209-14c4-0eef-092879070b33,partial_metrics
1,gen-bbf8b961-f83c-3169-009b-831460788576,qwen25_coder_7b,24.0,0.0,24.0,0.0,0.0,,,100.0,True,True,,1,gen-2b132d31-5209-14c4-0eef-092879070b33,partial_metrics
1,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e,qwen25_coder_7b,24.0,0.0,24.0,0.0,0.0,,,100.0,True,True,,1,gen-2b132d31-5209-14c4-0eef-092879070b33,partial_metrics
2,gen-24bf3227-734f-fac2-b3a8-5ef3b1ea01c6,qwen25_coder_7b,24.0,0.0,24.0,0.0,0.0,,,100.0,True,True,,1,gen-24bf3227-734f-fac2-b3a8-5ef3b1ea01c6,partial_metrics
2,gen-2b132d31-5209-14c4-0eef-092879070b33,qwen25_coder_7b,24.0,0.0,24.0,0.0,0.0,,,100.0,True,False,,1,gen-24bf3227-734f-fac2-b3a8-5ef3b1ea01c6,partial_metrics
2,gen-378892e9-ecc3-87ab-8b45-85023a0286cc,qwen25_coder_7b,24.0,0.0,24.0,0.0,0.0,,,100.0,True,False,,1,gen-24bf3227-734f-fac2-b3a8-5ef3b1ea01c6,partial_metrics
2,gen-af17dfa2-8346-1468-fe4c-138bdd4e7245,qwen25_coder_7b,24.0,0.0,24.0,0.0,0.0,,,100.0,True,False,,1,gen-24bf3227-734f-fac2-b3a8-5ef3b1ea01c6,partial_metrics
2,gen-cfb5b7ba-d301-9859-6637-c9e3c3e2716c,qwen25_coder_7b,24.0,0.0,24.0,0.0,0.0,,,100.0,True,True,,1,gen-24bf3227-734f-fac2-b3a8-5ef3b1ea01c6,partial_metrics
