index,category,model_name,command,gen_started_at,gen_ended_at,response_time,elapse_time,report_time,llm_prompt_tokens,llm_completion_tokens,llm_total_tokens,overall_final,final_status,overall_deterministic,syntax_schema,logic_rules,function_calls,semantic_intent_z3,overall_lang,equivalent_z3,overall_gpt,generated_candidate_json,ground_truth_json_list,syntax_errors,rule_violations,function_call_issues,z3_diff,ls_judge_reasoning,gpt_judge_reasoning
16.0,1.0,gpt_cap.files,10을 3으로 나눈 나머지를 구해.,2025-11-26T05:27:01,2025-11-26T05:27:04,3.743,3.81763,3.7433,,,,0.4302222222222223,fail,0.55,1.0,1.0,0.0,0.0,0.6222222222222222,False,0.16,"{""name"":""Scenario1"",""cron"":"""",""period"":-1,""code"":""result := 10 % 3""}","[{""name"":""Scenario1"",""cron"":"""",""period"":-1,""code"":""(#Calculator).calculator_mod(10,3)""},{""name"":""Scenario1"",""cron"":"""",""period"":-1,""code"":""(#Calculator).calculator_mod(10, 3)""},{""name"":""Scenario1"",""cron"":"""",""period"":-1,""code"":""(#Calculator).calculator_mod(10,3)""}]",[],[],Parse failed,,"{'semantic_intent': 'The operation correctly calculates the remainder, ensuring the desired future state of obtaining the result.', 'conditions': 'The condition structure is valid with correct usage of the modulus operator.', 'time_period': 'No temporal constructs are required for this operation.', 'device_service': 'The prediction does not use the specified device/service (#Calculator).'}","The generated code uses the modulus operator directly, while the ground truth code uses a method call on a Calculator object. Both achieve the same result, but the method call implies a different structural approach."
66.0,6.0,gpt_cap.files,10초마다 관개기를 켰다가 5초 뒤에 꺼 줘. 관개기를 켤 때 끌 때 모두 확인해서 일조량이 500룩스 이상이면 관개기를 끄고 반복을 종료해 줘.,2025-11-26T05:27:13,2025-11-26T05:27:30,17.391,17.394901,17.3913,,,,0.399,fail,0.525,1.0,0.9,0.0,0.0,0.64,False,0.12,"{""name"":""Scenario1"",""cron"":"""",""period"":10000,""code"":""prev_on := false\nprev_off := false\n(#Irrigator).switch_on()\nif (((#LightSensor).lightSensor_illuminance >= 500) and (prev_on == false)) {\n    (#Irrigator).switch_off()\n    break\n}\nprev_on = ((#LightSensor).lightSensor_illuminance >= 500)\n(#Clock).clock_delay(5000)\n(#Irrigator).switch_off()\nif (((#LightSensor).lightSensor_illuminance >= 500) and (prev_off == false)) {\n    break\n}\nprev_off = ((#LightSensor).lightSensor_illuminance >= 500)""}","[{""name"":""Scenario1"",""cron"":"""",""period"":10000,""code"":""\nlux = (#LightSensor).lightLevel_light\n\nif (lux >= 500.0) {\n\n  (#Irrigator).switch_off()\n\n  break\n}\n\n(#Irrigator).switch_on()\n\n(#Clock).clock_delay(5000)\n\nlux = (#LightSensor).lightLevel_light\n\nif (lux >= 500.0) {\n  \n(#Irrigator).switch_off()\n\n  break\n\n}\n\n(#Irrigator).switch_off()""},{""name"":""Scenario1"",""cron"":"""",""period"":10000,""code"":""\ntriggered := false\nif (triggered == false) {\n  (#Irrigator).switch_on()\n  triggered = true\n} else {\n  (#Clock).clock_delay(5000)\n  if ((#LightSensor).lightLevel_light >= 500) {\n    (#Irrigator).switch_off()\n    break\n  } else {\n    (#Irrigator).switch_off()\n    triggered = false\n  }\n}""}]",[],['potential_init_misuse'],Parse failed,,"{'semantic_intent': 'Recheck is present but the use of prev_on and prev_off introduces ambiguity and unnecessary complexity, weakening the guarantee. The post-delay action is correct but lacks idempotency due to the conditional checks.', 'conditions': 'The conditions use VALUE-only predicates and are structurally sound, but the use of prev_on and prev_off is unnecessary and slightly reduces clarity.', 'time_period': 'The delay is correctly placed after turning on the irrigator, but the 10-second interval is not explicitly handled, leading to a deduction.', 'device_service': 'Device and service mappings are mostly correct, but there is a minor mismatch in the light sensor service name.'}","The generated code introduces additional variables 'prev_on' and 'prev_off' to track state changes, which are not present in the ground truth. The order of operations is also different, with the generated code switching the irrigator on before checking the light sensor condition, whereas the ground truth checks the condition first. These differences affect the control flow and logic, leading to moderate similarity."
95.0,6.0,gpt_cap.files,10초마다 블라인드를 완전히 닫아 줘. 그 때마다 확인해서 TV가 켜져 있으면 즉시 반복을 종료해.,2025-11-26T05:27:46,2025-11-26T05:27:50,3.95,3.953345,3.9498,,,,0.7283333333333335,partial,0.95,1.0,1.0,1.0,0.75,0.5866666666666668,False,0.18,"{""name"":""Scenario1"",""cron"":"""",""period"":10000,""code"":""(#Blind).blind_close()\nif ((#TV).switch_switch == 'on') {\n    break\n}""}","[{""name"":""Scenario1"",""cron"":"""",""period"":10000,""code"":""\n(#Blind).blind_close()\n\nif ((#Television).switch_switch == \""on\"") {\n\n  break\n\n}""},{""name"":""Scenario1"",""cron"":"""",""period"":10000,""code"":""\n if ((#Television).switch_switch == \""on\"") {\n break\n } else {\n (#Blind).blind_close()\n }\n ""},{""name"":""Scenario"",""cron"":"""",""period"":10000,""code"":""if ((#Television).switch_switch == 'on') {\n    break\n}\n(#Blind).blind_close()""}]",[],[],[],,"{'semantic_intent': 'Recheck is present and correctly placed. The post-delay sign is correct, ensuring the blinds close. However, the loop control for repeating every 10 seconds is missing, slightly weakening the guarantee.', 'conditions': 'The condition structure is sound with correct use of VALUE-only predicates and operator compatibility.', 'time_period': 'The temporal construct for repeating every 10 seconds is missing, leading to a significant deduction.', 'device_service': ""Device and service mapping is mostly correct, but there is a minor mismatch in the device name ('TV' vs 'Television').""}","The generated code uses a different identifier (#TV) compared to the ground truth (#Television), which may affect the target device. Additionally, there is a minor difference in string literal quotes, but this does not affect functionality."
67.0,7.0,gpt_cap.files,10초마다 알람과 사이렌을 껐다 켰다 반복해 줘.,2025-11-26T05:27:59,2025-11-26T05:28:04,5.104,5.107806,5.1045,,,,0.7800000000000001,partial,0.975,1.0,0.9,1.0,1.0,0.6000000000000001,True,0.2,"{""name"":""Scenario1"",""cron"":"""",""period"":10000,""code"":""alarm_state := true\nif (alarm_state == true) {\n    (#Alarm).alarm_off()\n    (#Siren).switch_off()\n    alarm_state = false\n} else {\n    (#Alarm).alarm_siren()\n    (#Siren).switch_on()\n    alarm_state = true\n}""}","[{""name"":""Scenario1"",""cron"":"""",""period"":10000,""code"":""\nalarm_state := true\n\nif (alarm_state == true) {\n\n  (#Alarm).alarm_off()\n\n  (#Siren).switch_off()\n\n  alarm_state = false\n\n} else {\n\n  (#Alarm).alarm_siren()\n\n  (#Siren).switch_on()\n\n  alarm_state = true\n\n}""},{""name"":""Scenario1"",""cron"":"""",""period"":10000,""code"":""\nalarm_state := true\n\nif (alarm_state == true) {\n\n  (#Alarm).alarm_off()\n\n  (#Siren).switch_off()\n\n  alarm_state = false\n\n} else {\n\n  (#Alarm).alarm_siren()\n\n  (#Siren).switch_on()\n\n  alarm_state = true\n\n}""},{""name"":""Scenario1"",""cron"":"""",""period"":10000,""code"":""alarm_state := true\nif (alarm_state == true) {\n    (#Alarm).alarm_off()\n    (#Siren).switch_off()\n    alarm_state = false\n} else {\n    (#Alarm).alarm_siren()\n    (#Siren).switch_on()\n    alarm_state = true\n}""}]",[],['potential_init_misuse'],[],,"{'semantic_intent': 'The code toggles the alarm and siren states correctly, ensuring idempotency. However, it lacks a recheck mechanism or delay to confirm the future state, which slightly weakens the guarantee.', 'conditions': 'The condition structure is sound with correct use of boolean checks and no structural errors.', 'time_period': 'There is no implementation of a 10-second interval or delay, which is required by the input.', 'device_service': 'Correct device and service usage with valid function calls and no arity/type mismatches.'}",
22.0,4.0,gpt_cap.files,1시간 20분 30초 뒤에 알람의 사이렌을 울려줘,2025-11-26T05:28:11,2025-11-26T05:28:14,3.196,3.199219,3.1959,,,,0.977777777777778,pass,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,True,0.2,"{""name"":""Scenario1"",""cron"":"""",""period"":-1,""code"":""(#Clock).clock_delay(4830000)\n(#Alarm).alarm_siren()""}","[{""name"":""Scenario1"",""cron"":"""",""period"":-1,""code"":""(#Clock).clock_delay(4830000)\n(#Alarm).alarm_siren()""},{""name"":""Scenario1"",""cron"":"""",""period"":-1,""code"":""(#Clock).clock_delay(4830000)\n(#Alarm).alarm_siren()""},{""name"":""Scenario1"",""cron"":"""",""period"":-1,""code"":""(#Clock).clock_delay(4830000)\n(#Alarm).alarm_siren()""}]",[],[],[],,"{'semantic_intent': 'The prediction correctly implements a delay followed by the action, ensuring the future state is achieved. No recheck is needed as the action is a one-time event.', 'conditions': 'The structure of the condition is sound with no unnecessary complexity.', 'time_period': 'The delay is correctly implemented as specified in the input.', 'device_service': 'The devices and services used are correct and match the reference.'}",
147.0,3.0,gpt_cap.files,"1월 1일에, 실시간으로 확인하여 조명이 꺼지면 3초 대기 후 펌프를 끄고, 5초 후 블라인드를 닫으며, 추가로 7초 후 조명을 다시 켠 다음 알람의 사이렌을 울려 줘.",2025-11-26T05:28:19,2025-11-26T05:28:28,9.334,9.336946,9.3336,,,,0.6666666666666667,partial,0.8,1.0,1.0,1.0,0.0,0.7333333333333334,True,0.1,"{""name"":""Scenario1"",""cron"":""0 0 1 1 *"",""period"":-1,""code"":""if ((#Clock).clock_month != 1) or ((#Clock).clock_day != 1) {\n    break\n}\nwait until((#Light).switch_switch == 'off')\n(#Clock).clock_delay(3000)\n(#Pump).switch_off()\n(#Clock).clock_delay(5000)\n(#Blind).blind_close()\n(#Clock).clock_delay(7000)\n(#Light).switch_on()\n(#Alarm).alarm_siren()""}","[{""name"":""Scenario1"",""cron"":""0 0 1 1 *"",""period"":100,""code"":""\nif (((#Clock).clock_month == 1) and ((#Clock).clock_day == 1)) {\n\n  if((#Light).switch_switch == \""off\"")\n\n  (#Clock).clock_delay(3000)\n\n  (#Pump).switch_off()\n\n  (#Clock).clock_delay(5000)\n\n  (#Blind).blind_close()\n\n  (#Clock).clock_delay(7000)\n\n  (#Light).switch_on()\n\n  (#Alarm).alarm_siren()\n\n  break\n} else{\n  break\n}""}]",[],[],[],,"{'semantic_intent': ""Recheck is present with 'wait until' for light off, ensuring correct state before proceeding. Actions are idempotent and follow the correct sequence. No unnecessary steps."", 'conditions': 'Condition structure is correct with valid operators and device/service mapping.', 'time_period': 'Delays are correctly placed after each action as instructed.', 'device_service': 'All devices and services are correctly referenced and used with valid signatures.'}","The generated code uses a condition with 'or' that immediately breaks if the date is not January 1st, whereas the ground truth uses 'and' to proceed only if it is January 1st. The generated code also uses 'wait until' for the light switch condition, while the ground truth uses an 'if' statement. These differences lead to different control flows and execution outcomes."
102.0,7.0,gpt_cap.files,1초마다 상태를 확인해서 온도가 35도를 초과할 때마다 환풍기를 켜 줘.,2025-11-26T05:28:38,2025-11-26T05:28:42,3.83,3.833295,3.8301,,,,0.6087037037037039,partial,0.7916666666666667,1.0,0.9,1.0,0.0833333333333333,0.648888888888889,False,0.12,"{""name"":""Scenario1"",""cron"":"""",""period"":1000,""code"":""prev_temp := (#TemperatureSensor).temperatureMeasurement_temperature\ncur_temp = (#TemperatureSensor).temperatureMeasurement_temperature\nif ((prev_temp <= 35) and (cur_temp > 35)) {\n    (#Fan).switch_on()\n}\nprev_temp = cur_temp""}","[{""name"":""Scenario1"",""cron"":"""",""period"":1000,""code"":""triggered := false\nif ((#TemperatureSensor).temperatureMeasurement_temperature > 35.0) {\n  if (triggered == false) {\n    (#Fan).switch_on()\n    triggered = true\n  }\n} else {\n  triggered = false\n}""},{""name"":""Scenario1"",""cron"":"""",""period"":1000,""code"":""\n triggered := false\n if ((#TemperatureSensor).temperatureMeasurement_temperature > 35.0) {\n if (triggered == false) {\n (#Fan).switch_on()\n triggered = true\n }\n } else {\n triggered = false\n }\n ""},{""name"":""Scenario1"",""cron"":"""",""period"":1000,""code"":""triggered := false\nif ((#TemperatureSensor).temperatureMeasurement_temperature > 35) {\n    if (triggered == false) {\n        (#Fan).switch_on()\n        triggered = true\n    }\n} else {\n    triggered = false\n}""}]",[],['potential_init_misuse'],[],,"{'semantic_intent': 'Recheck is present by comparing previous and current temperature, but lacks idempotency as it does not prevent redundant toggles. The logic does not ensure the fan remains on if the temperature fluctuates around 35.', 'conditions': 'The condition structure is sound, using valid operators and correct device/service mapping.', 'time_period': 'The check occurs every time the temperature is read, but lacks explicit periodicity or delay control, which could lead to excessive polling.', 'device_service': 'Correct device and service usage with valid function calls and parameters.'}","The generated code uses a temperature comparison between previous and current readings to trigger the fan, while the ground truth uses a 'triggered' flag to ensure the fan is only switched on once when the temperature exceeds 35.0. The logic for maintaining the state of the fan differs significantly, leading to different behaviors in repeated temperature readings."
65.0,6.0,gpt_cap.files,1초마다 선풍기의 전원을 켜고 끄는 토글 동작을 반복해 줘. 매번 동작 직전에 습도를 확인해서 80% 이상이면 반복을 즉시 중단해 줘.,2025-11-26T05:28:51,2025-11-26T05:29:05,13.629,13.632408,13.629,,,,0.603425925925926,partial,0.7916666666666667,1.0,0.9,1.0,0.0833333333333333,0.6622222222222223,False,0.1,"{""name"":""Scenario1"",""cron"":"""",""period"":100,""code"":""phase := 0\nif (phase == 0) {\n    if ((#HumiditySensor).relativeHumidityMeasurement_humidity >= 80) {\n        break\n    }\n    phase = 1\n} else {\n    (#Fan).switch_toggle()\n    phase = 0\n}""}","[{""name"":""Scenario1"",""cron"":"""",""period"":1000,""code"":""\nhumidity = (#AirQualityDetector).relativeHumidityMeasurement_humidity\n\nif (humidity >= 80.0) {\n\n  break\n}\n\n(#Fan).switch_toggle()""},{""name"":""Scenario1"",""cron"":"""",""period"":1000,""code"":""stopped := false\nhumidity = (#HumiditySensor).relativeHumidityMeasurement_humidity\nif (humidity >= 80.0) {\nstopped = true\n}\nif (stopped == false) {\n(#Fan).switch_toggle()\n} else {\nbreak\n}""},{""name"":""Scenario1"",""cron"":"""",""period"":1000,""code"":""if ((#HumiditySensor).relativeHumidityMeasurement_humidity >= 80) {\n    break\n}\n(#Fan).switch_toggle()""}]",[],['potential_init_misuse'],[],,"{'semantic_intent': 'Recheck for humidity is present before each toggle, but the toggle action is ambiguous and may not ensure the desired end-state. The use of a phase variable adds complexity without strengthening the guarantee.', 'conditions': 'The condition structure is correct, using a value-only predicate for humidity comparison.', 'time_period': 'The toggle action is intended to repeat every second, but the use of a phase variable complicates the timing logic, slightly misaligning with the simple 1-second toggle cycle.', 'device_service': 'Correct device and service usage; the humidity sensor and fan toggle are valid and correctly referenced.'}","The generated code introduces a phase control logic that is not present in the ground truth. The ground truth directly checks humidity and toggles the fan, while the generated code uses a phase variable to control the flow, leading to different execution paths."
116.0,7.0,gpt_cap.files,1초마다 확인하여 관개 장치가 꺼졌다 켜진 횟수가 4번을 초과하고 펌프가 2번 이상 작동했으면 블라인드를 닫고 커튼을 내려 줘.,2025-11-26T05:29:15,2025-11-26T05:29:23,7.868,7.871294,7.8679,,,,0.6840166666666668,partial,0.8883333333333334,1.0,0.9,1.0,0.5666666666666667,0.6000000000000001,False,0.17,"{""name"":""Scenario1"",""cron"":"""",""period"":1000,""code"":""irrigator_count := 0\npump_count := 0\nprev_irrigator_state := (#Irrigator).switch_switch\nprev_pump_state := (#Pump).switch_switch\ncur_irrigator_state = (#Irrigator).switch_switch\ncur_pump_state = (#Pump).switch_switch\nif ((prev_irrigator_state == 'off') and (cur_irrigator_state == 'on')) {\n    irrigator_count = irrigator_count + 1\n}\nif ((prev_pump_state == 'off') and (cur_pump_state == 'on')) {\n    pump_count = pump_count + 1\n}\nprev_irrigator_state = cur_irrigator_state\nprev_pump_state = cur_pump_state\nif ((irrigator_count > 4) and (pump_count >= 2)) {\n    (#Blind).blind_close()\n    (#Curtain).curtain_close()\n    break\n}""}","[{""name"":""Scenario1"",""cron"":"""",""period"":1000,""code"":""prev_irrigator_state := (#Irrigator).switch_switch\nirrigator_off_to_on_count := 0\nprev_pump_state := (#Pump).switch_switch\npump_on_count := 0\nirrigator_state = (#Irrigator).switch_switch\npump_state = (#Pump).switch_switch\nif ((prev_irrigator_state == \""off\"") and (irrigator_state == \""on\"")) {\n  irrigator_off_to_on_count = irrigator_off_to_on_count + 1\n}\nprev_irrigator_state = irrigator_state\nif ((pump_state == \""on\"") and (prev_pump_state != \""on\"")) {\n  pump_on_count = pump_on_count + 1\n}\nprev_pump_state = pump_state\nif ((irrigator_off_to_on_count > 4) and (pump_on_count >= 2)) {\n  (#Blind).blind_close()\n  (#Curtain).curtain_close()\n  break\n}""},{""name"":""Scenario1"",""cron"":"""",""period"":1000,""code"":""\n irrigatorOnCount := 0\n pumpOnCount := 0\n if ((#Irrigator).switch_switch == \""off\"") {\n wait until ((#Irrigator).switch_switch == \""on\"")\n irrigatorOnCount = irrigatorOnCount + 1\n }\n if ((#Pump).switch_switch == \""on\"") {\n pumpOnCount = pumpOnCount + 1\n }\n if ((irrigatorOnCount > 4) and (pumpOnCount >= 2)) {\n (#Blind).blind_close()\n (#Curtain).curtain_close()\n }\n ""},{""name"":""Scenario"",""cron"":"""",""period"":1000,""code"":""irrigator_count := 0\nprev_irrigator_state := (#Irrigator).switch_switch\nirrigator_state = (#Irrigator).switch_switch\npump_count := 0\nprev_pump_state := (#Pump).switch_switch\npump_state = (#Pump).switch_switch\nif ((prev_irrigator_state == 'off') and (irrigator_state == 'on')) {\n    irrigator_count = irrigator_count + 1\n}\nif ((prev_pump_state == 'off') and (pump_state == 'on')) {\n    pump_count = pump_count + 1\n}\nprev_irrigator_state = irrigator_state\nprev_pump_state = pump_state\nif ((irrigator_count > 4) and (pump_count >= 2)) {\n    (#Blind).blind_close()\n    (#Curtain).curtain_close()\n    break\n}""}]",[],['potential_init_misuse'],[],,"{'semantic_intent': 'Recheck is present and correctly placed for state transitions. Post-delay sign is correct, ensuring idempotent actions. However, the absence of a loop or periodic check weakens the guarantee slightly.', 'conditions': 'The structure of conditions is sound with correct use of operators and valid device/service mapping.', 'time_period': 'No periodic check or delay mechanism is implemented, which is required by the input.', 'device_service': 'Correct device and service usage with valid signatures and no hallucinations.'}","The generated code uses different variable names for counting state changes (irrigator_count vs irrigator_off_to_on_count, pump_count vs pump_on_count) and slightly different logic for detecting pump state changes. However, the overall logic and control flow are similar, with both codes achieving the same outcome."
135.0,6.0,gpt_cap.files,1초마다 확인하여 온도가 30도 미만이면서 25도 이상일 때마다 에어컨을 켜 줘.,2025-11-26T05:29:34,2025-11-26T05:29:38,4.231,4.234524,4.2313,,,,0.4355851851851851,fail,0.8033333333333333,1.0,0.9,1.0,0.1416666666666666,0.5422222222222222,False,0.0,"{""name"":""Scenario1"",""cron"":"""",""period"":1000,""code"":""prev_temp := (#TemperatureSensor).temperatureMeasurement_temperature\ncur_temp = (#TemperatureSensor).temperatureMeasurement_temperature\nif ((prev_temp < 25 or prev_temp >= 30) and (cur_temp >= 25 and cur_temp < 30)) {\n    (#AirConditioner).switch_on()\n}\nprev_temp = cur_temp""}","[{""name"":""Scenario1"",""cron"":"""",""period"":2000,""code"":""(#Light).switch_toggle()\nlight_state = (#Light).switch_switch\nif (light_state == \""off\"") {\n  window_state = (#Window).windowControl_window\n  if (window_state == \""open\"") {\n      break\n  }\n}""},{""name"":""Scenario1"",""cron"":"""",""period"":1000,""code"":""\n if (((#TemperatureSensor).temperatureMeasurement_temperature < 30.0) and ((#TemperatureSensor).temperatureMeasurement_temperature >= 25.0)) {\n (#AirConditioner).switch_on()\n }\n ""},{""name"":""Scenario"",""cron"":"""",""period"":1000,""code"":""triggered := false\nif (((#TemperatureSensor).temperatureMeasurement_temperature < 30) and ((#TemperatureSensor).temperatureMeasurement_temperature >= 25)) {\n    if (triggered == false) {\n        (#AirConditioner).switch_on()\n        triggered = true\n    }\n} else {\n    triggered = false\n}""}]",[],['potential_init_misuse'],[],,"{'semantic_intent': 'Recheck is implicit through repeated condition checks, but lacks explicit delay or wait-until. Post-delay sign is correct, but the logic is ambiguous due to reliance on temperature change without explicit timing control.', 'conditions': ""Condition structure is mostly correct, but there is a minor issue with the use of 'or' in the temperature range check, which could lead to incorrect evaluations."", 'time_period': 'No explicit temporal control like delay or wait-until is used, which is required by the input. The logic relies on implicit periodic checks, which is insufficient.', 'device_service': 'Correct use of device services and functions; no issues with device/service mapping or signatures.'}","The generated code and ground truth code have completely different logic and actions. The generated code deals with temperature measurement and air conditioner control, while the ground truth code involves light toggling and window state checking."
