index,category,model_name,command,gen_started_at,gen_ended_at,response_time,elapse_time,report_time,llm_prompt_tokens,llm_completion_tokens,llm_total_tokens,overall_final,final_status,overall_deterministic,syntax_schema,logic_rules,function_calls,semantic_intent_z3,overall_lang,equivalent_z3,overall_gpt,generated_candidate_json,ground_truth_json_list,syntax_errors,rule_violations,function_call_issues,z3_diff,ls_judge_reasoning,gpt_judge_reasoning
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,6.0,gpt_mg.version0_9,10초마다 관개기를 켰다가 5초 뒤에 꺼 줘. 관개기를 켤 때 끌 때 모두 확인해서 일조량이 500룩스 이상이면 관개기를 끄고 반복을 종료해 줘.,2025-12-31T09:10:59,2025-12-31T09:11:05,5.992,5.996142,5.9924,42843.0,173.0,43016.0,0.7155555555555555,partial,0.8,1.0,1.0,1.0,0.0,0.8944444444444444,False,0.0,"{""code"":""""}","[{""name"":""Scenario1"",""cron"":"""",""period"":10000,""code"":""\nlux = (#LightSensor).lightLevel_light\n\nif (lux >= 500.0) {\n\n  (#Irrigator).switch_off()\n\n  break\n}\n\n(#Irrigator).switch_on()\n\n(#Clock).clock_delay(5000)\n\nlux = (#LightSensor).lightLevel_light\n\nif (lux >= 500.0) {\n  \n(#Irrigator).switch_off()\n\n  break\n\n}\n\n(#Irrigator).switch_off()""},{""name"":""Scenario1"",""cron"":"""",""period"":10000,""code"":""\ntriggered := false\nif (triggered == false) {\n  (#Irrigator).switch_on()\n  triggered = true\n} else {\n  (#Clock).clock_delay(5000)\n  if ((#LightSensor).lightLevel_light >= 500) {\n    (#Irrigator).switch_off()\n    break\n  } else {\n    (#Irrigator).switch_off()\n    triggered = false\n  }\n}""}]",[],[],[],,"{'semantic_intent': 'The prediction correctly captures the intent to turn the irrigator on and off based on light conditions.', 'time_period': 'The prediction does not explicitly implement the 10-second interval for turning the irrigator on, only the 5-second delay for turning it off.', 'device_service': 'The prediction correctly identifies and uses the irrigator device.', 'conditions': 'The prediction correctly checks the light level condition before turning off the irrigator, but it does not explicitly handle the condition before turning it on.'}",skipped (module unavailable)
95.0,6.0,gpt_mg.version0_9,Command not found,2026-01-22T21:45:50,2026-01-22T21:46:05,14.536,14.539694,14.5356,12122.0,27.0,12149.0,0.0,fail,0.8,1.0,1.0,1.0,0.0,,False,,"{""name"":""NoAction"",""cron"":"""",""period"":-1,""code"":""""}","[{""name"":""Scenario1"",""cron"":"""",""period"":10000,""code"":""\n(#Blind).blind_close()\n\nif ((#Television).switch_switch == \""on\"") {\n\n  break\n\n}""},{""name"":""Scenario1"",""cron"":"""",""period"":10000,""code"":""\n if ((#Television).switch_switch == \""on\"") {\n break\n } else {\n (#Blind).blind_close()\n }\n ""},{""name"":""Scenario"",""cron"":"""",""period"":10000,""code"":""if ((#Television).switch_switch == 'on') {\n    break\n}\n(#Blind).blind_close()""}]",[],[],[],,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.0,3.0,gpt_mg.version0_9,"1월 1일에, 실시간으로 확인하여 조명이 꺼지면 3초 대기 후 펌프를 끄고, 5초 후 블라인드를 닫으며, 추가로 7초 후 조명을 다시 켠 다음 알람의 사이렌을 울려 줘.",2025-12-31T10:20:45,2025-12-31T10:20:49,3.525,3.52906,3.5252,43140.0,160.0,43300.0,0.3875,fail,0.775,1.0,0.9,1.0,0.0,0.5,False,0.0,"{""name"":""연초조명펌프블라인드알람동작"",""cron"":""0 0 1 1 *"",""period"":100,""code"":""triggered := false\nif ((#Light).switch_switch == \""off\"") {\n  if (triggered == false) {\n    triggered = true\n    (#Clock).clock_delay(3000)\n    (#Pump).switch_off()\n    (#Clock).clock_delay(5000)\n    (#Blind).blind_close()\n    (#Clock).clock_delay(7000)\n    (#Light).switch_on()\n    (#Alarm).alarm_siren()\n  }\n} else {\n  triggered = false\n}""}","[{""name"":""Scenario1"",""cron"":""0 0 1 1 *"",""period"":100,""code"":""\nif (((#Clock).clock_month == 1) and ((#Clock).clock_day == 1)) {\n\n  if((#Light).switch_switch == \""off\"")\n\n  (#Clock).clock_delay(3000)\n\n  (#Pump).switch_off()\n\n  (#Clock).clock_delay(5000)\n\n  (#Blind).blind_close()\n\n  (#Clock).clock_delay(7000)\n\n  (#Light).switch_on()\n\n  (#Alarm).alarm_siren()\n\n  break\n} else{\n  break\n}""}]",[],['potential_init_misuse'],[],,"{'semantic_intent': 'The prediction captures the sequence of actions but misses the specific date condition.', 'time_period': 'The prediction does not include the condition for January 1st, which is crucial.', 'device_service': 'All devices and services mentioned in the input are correctly used in the prediction.', 'conditions': 'The condition for the light being off is correctly implemented, but the date condition is missing.'}",skipped (module unavailable)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
